
Image Name                     PID Session Name        Session#    Mem Usage
ServiceHub.VSDetouredHost     6616 Console                    1     60,312 K
conhost.exe                  18516 Console                    1      5,264 K
ServiceHub.Host.CLR.x86.e    15892 Console                    1     46,952 K
conhost.exe                  17800 Console                    1      5,268 K
ServiceHub.SettingsHost.e    16704 Console                    1     72,660 K
conhost.exe                  11472 Console                    1      5,264 K
ServiceHub.ThreadedWaitDi    10892 Console                    1     73,616 K
conhost.exe                   5280 Console                    1      5,324 K
ServiceHub.Host.CLR.x86.e     8092 Console                    1     57,912 K
conhost.exe                   3028 Console                    1      5,264 K
ServiceHub.TestWindowStor    12344 Console                    1     48,000 K
conhost.exe                  13768 Console                    1      5,264 K
chrome.exe                    6572 Console                    1     21,212 K
CompPkgSrv.exe               14648 Console                    1      8,864 K
rundll32.exe                  5780 Console                    1      9,480 K
chrome.exe                   13640 Console                    1    199,088 K
chrome.exe                   15860 Console                    1     43,600 K
Microsoft.Photos.exe          3744 Console                    1      1,692 K
RuntimeBroker.exe             9740 Console                    1     29,396 K
explorer.exe                  1608 Console                    1     60,876 K
devenv.exe                    5820 Console                    1    400,412 K
PerfWatson2.exe               6288 Console                    1     44,460 K
Microsoft.ServiceHub.Cont    11924 Console                    1     48,736 K
conhost.exe                  18008 Console                    1      5,264 K
ServiceHub.VSDetouredHost    13644 Console                    1     61,180 K
conhost.exe                   3948 Console                    1      5,264 K
ServiceHub.IdentityHost.e    14688 Console                    1     52,076 K
conhost.exe                   6208 Console                    1      5,264 K
ServiceHub.Host.CLR.x86.e    20048 Console                    1     50,088 K
conhost.exe                  20068 Console                    1      5,264 K
ServiceHub.SettingsHost.e    20300 Console                    1     80,332 K
conhost.exe                  20312 Console                    1      5,264 K
vcpkgsrv.exe                 12588 Console                    1     48,396 K
ServiceHub.Host.CLR.x86.e    20308 Console                    1     51,636 K
conhost.exe                  11244 Console                    1      5,264 K
ServiceHub.TestWindowStor    13224 Console                    1     47,264 K
conhost.exe                  14620 Console                    1      5,264 K
svchost.exe                  14056 Services                   0      5,980 K
ServiceHub.DataWarehouseH    17072 Console                    1     89,980 K
conhost.exe                  20060 Console                    1      5,004 K
aseprite.exe                 22948 Console                    1     21,396 K
Code.exe                     21896 Console                    1     63,844 K
Code.exe                     23464 Console                    1     20,832 K
Code.exe                     22580 Console                    1    136,196 K
Code.exe                     22624 Console                    1     36,828 K
Code.exe                     22788 Console                    1    140,828 K
Code.exe                     23156 Console                    1     73,764 K
Code.exe                      2792 Console                    1     75,960 K
Code.exe                     23516 Console                    1     57,128 K
Code.exe                     22876 Console                    1     57,764 K
conhost.exe                  24040 Console                    1      5,640 K
powershell.exe               24544 Console                    1     47,088 K
cpptools.exe                 15312 Console                    1     17,220 K
conhost.exe                  23636 Console                    1      5,172 K
cpptools-srv.exe              2028 Console                    1     42,068 K
cpptools-srv.exe             10332 Console                    1     11,800 K
ServiceHub.DataWarehouseH    21916 Console                    1     71,912 K
conhost.exe                   8452 Console                    1      5,544 K
ScriptedSandbox64.exe        10036 Console                    1     43,284 K
dllhost.exe                  20096 Console                    1     10,256 K
Discord.exe                  19072 Console                    1     66,544 K
Discord.exe                    280 Console                    1     21,200 K
Discord.exe                  27632 Console                    1     44,708 K
Discord.exe                  26240 Console                    1     35,536 K
Discord.exe                  26856 Console                    1    316,060 K
Discord.exe                   2116 Console                    1     54,236 K
chrome.exe                   14664 Console                    1    208,924 K
chrome.exe                   24540 Console                    1     75,576 K
chrome.exe                   25372 Console                    1     85,196 K
chrome.exe                   28064 Console                    1    273,996 K
svchost.exe                  15336 Services                   0      7,600 K
svchost.exe                  19804 Console                    1      9,236 K
SystemSettingsBroker.exe     17384 Console                    1     32,796 K
svchost.exe                  28992 Console                    1     13,720 K
svchost.exe                  13148 Services                   0     65,440 K
chrome.exe                   18520 Console                    1     97,828 K
chrome.exe                   25328 Console                    1     27,432 K
svchost.exe                  27264 Services                   0     11,836 K
SearchProtocolHost.exe       21936 Console                    1      8,804 K
MSBuild.exe                  23740 Console                    1     42,780 K
conhost.exe                  27684 Console                    1     11,176 K
mspdbsrv.exe                 19828 Console                    1     72,852 K
WmiPrvSE.exe                 29352 Services                   0     11,756 K
StandardCollector.Service    28100 Services                   0     30,016 K
smartscreen.exe              22172 Console                    1     23,776 K
ScriptedSandbox64.exe        28856 Console                    1     59,572 K
SearchFilterHost.exe         16184 Services                   0      7,496 K
vcpkgsrv.exe                  1868 Console                    1    131,792 K
vctip.exe                      304 Console                    1     34,828 K
Productivity.exe             11908 Console                    1     11,376 K
msvsmon.exe                  20628 Console                    1     32,904 K
cmd.exe                      22152 Console                    1      5,416 K
conhost.exe                   8764 Console                    1     16,540 K
tasklist.exe                 25876 Console                    1     10,200 K
